SID,NAME,ISO_TIME,YEAR,MONTH,LAT,LON,WMO_WIND,WIND_KMH,WMO_PRES,TYPHOON_GRADE
20221N05W,MOLAVE,2021-09-13 15:00:00,2021,9,16.48,105.8,51,94.5,976,Bão nhiệt đới
20217N03W,GONONI,2017-08-23 21:00:00,2017,8,10.25,104.99,91,168.5,948,Bão rất mạnh
20223N07W,RAI,2023-10-17 15:00:00,2023,10,10.39,112.7,86,159.3,950,Bão rất mạnh
20222N03W,NORU,2022-09-08 03:00:00,2022,9,11.92,114.31,99,183.3,942,Bão rất mạnh
20216N03W,KETSANA,2016-07-26 15:00:00,2016,7,12.04,111.3,40,74.1,979,Bão nhiệt đới
20223N05W,KETSANA,2023-09-01 15:00:00,2023,9,12.71,104.15,52,96.3,969,Bão nhiệt đới
20219N04W,VAMCO,2019-10-01 18:00:00,2019,10,17.54,114.16,104,192.6,937,Siêu bão
20216N06W,VAMCO,2016-09-23 06:00:00,2016,9,12.88,116.87,91,168.5,944,Bão rất mạnh
20223N03W,MOLAVE,2023-11-12 06:00:00,2023,11,8.93,113.86,51,94.5,978,Bão nhiệt đới
20221N06W,KETSANA,2021-10-08 06:00:00,2021,10,19.13,105.23,59,109.3,967,Bão mạnh
20224N02W,NORU,2024-10-26 15:00:00,2024,10,13.02,116.04,118,218.5,928,Siêu bão
20216N09W,XANGSANE,2016-10-07 21:00:00,2016,10,13.28,109.4,67,124.1,956,Bão mạnh
20217N07W,DOKSURI,2017-09-15 18:00:00,2017,9,15.45,103.07,80,148.2,958,Bão mạnh
20219N03W,YAGI,2019-07-06 06:00:00,2019,7,16.79,107.36,93,172.2,950,Bão rất mạnh
20217N09W,NORU,2017-10-06 00:00:00,2017,10,12.36,105.98,84,155.6,951,Bão rất mạnh
20218N06W,NORU,2018-06-22 03:00:00,2018,6,18.67,116.03,67,124.1,956,Bão mạnh
20224N07W,MOLAVE,2024-10-15 12:00:00,2024,10,15.56,109.78,97,179.6,944,Bão rất mạnh
20223N04W,NORU,2023-10-27 18:00:00,2023,10,16.38,111.05,55,101.9,969,Bão nhiệt đới
20216N02W,XANGSANE,2016-12-08 15:00:00,2016,12,11.18,108.78,119,220.4,922,Siêu bão
20220N01W,RAI,2020-10-26 12:00:00,2020,10,9.95,103.61,89,164.8,945,Bão rất mạnh
20222N05W,NORU,2022-10-05 21:00:00,2022,10,17.12,114.34,60,111.1,968,Bão mạnh
20215N09W,MOLAVE,2015-09-14 21:00:00,2015,9,19.77,116.57,30,55.6,996,Bão nhiệt đới
20217N03W,GONONI,2017-09-21 00:00:00,2017,9,10.88,114.6,55,101.9,973,Bão nhiệt đới
20219N05W,DOKSURI,2019-07-20 00:00:00,2019,7,20.09,116.77,36,66.7,988,Bão nhiệt đới
20216N08W,VAMCO,2016-09-27 09:00:00,2016,9,20.78,105.97,54,100.0,969,Bão nhiệt đới
20222N08W,MOLAVE,2022-08-21 21:00:00,2022,8,12.36,114.49,51,94.5,972,Bão nhiệt đới
20220N04W,DOKSURI,2020-08-20 00:00:00,2020,8,10.08,108.63,92,170.4,943,Bão rất mạnh
20221N07W,NORU,2021-08-07 00:00:00,2021,8,12.34,108.36,80,148.2,954,Bão mạnh
20218N05W,VAMCO,2018-09-17 12:00:00,2018,9,13.29,115.39,48,88.9,975,Bão nhiệt đới
20216N09W,XANGSANE,2016-08-19 18:00:00,2016,8,15.39,110.55,67,124.1,962,Bão mạnh
20215N08W,YAGI,2015-11-07 06:00:00,2015,11,13.23,106.33,63,116.7,966,Bão mạnh
20224N06W,NORU,2024-12-18 18:00:00,2024,12,17.22,102.43,96,177.8,944,Bão rất mạnh
20222N09W,VAMCO,2022-07-15 12:00:00,2022,7,10.5,112.44,37,68.5,980,Bão nhiệt đới
20218N07W,DOKSURI,2018-10-24 15:00:00,2018,10,16.44,114.91,45,83.3,983,Bão nhiệt đới
20224N04W,XANGSANE,2024-09-23 21:00:00,2024,9,9.22,112.13,62,114.8,963,Bão mạnh
20217N05W,YAGI,2017-10-16 12:00:00,2017,10,20.27,112.29,111,205.6,928,Siêu bão
20215N02W,NORU,2015-09-23 09:00:00,2015,9,19.63,107.52,38,70.4,980,Bão nhiệt đới
20220N08W,TALIM,2020-08-20 03:00:00,2020,8,18.69,104.24,103,190.8,938,Siêu bão
20224N06W,NORU,2024-10-17 03:00:00,2024,10,8.31,106.3,69,127.8,961,Bão mạnh
20222N03W,NORU,2022-10-07 00:00:00,2022,10,9.95,115.36,33,61.1,990,Bão nhiệt đới
20222N07W,DOKSURI,2022-11-21 03:00:00,2022,11,16.07,106.38,46,85.2,981,Bão nhiệt đới
20219N01W,TALIM,2019-10-26 09:00:00,2019,10,10.89,102.18,114,211.1,927,Siêu bão
20219N04W,VAMCO,2019-08-13 00:00:00,2019,8,14.92,111.17,46,85.2,975,Bão nhiệt đới
20217N08W,DOKSURI,2017-09-26 15:00:00,2017,9,8.66,104.66,94,174.1,944,Bão rất mạnh
20217N08W,DOKSURI,2017-07-11 21:00:00,2017,7,14.12,116.65,88,163.0,946,Bão rất mạnh
20219N03W,YAGI,2019-10-22 03:00:00,2019,10,13.55,117.27,51,94.5,971,Bão nhiệt đới
20218N09W,XANGSANE,2018-09-19 06:00:00,2018,9,19.78,115.54,102,188.9,940,Siêu bão
20217N08W,DOKSURI,2017-09-09 00:00:00,2017,9,12.92,108.6,90,166.7,945,Bão rất mạnh
20219N03W,YAGI,2019-07-18 12:00:00,2019,7,8.03,117.48,41,75.9,986,Bão nhiệt đới
20217N01W,KETSANA,2017-09-27 06:00:00,2017,9,21.47,114.64,86,159.3,945,Bão rất mạnh
20221N08W,TALIM,2021-12-19 21:00:00,2021,12,16.95,114.14,109,201.9,933,Siêu bão
20222N07W,DOKSURI,2022-12-18 00:00:00,2022,12,17.05,113.09,55,101.9,973,Bão nhiệt đới
20216N05W,RAI,2016-07-07 00:00:00,2016,7,10.7,103.84,88,163.0,948,Bão rất mạnh
20224N06W,NORU,2024-10-20 18:00:00,2024,10,14.37,110.36,46,85.2,973,Bão nhiệt đới
20221N06W,KETSANA,2021-09-03 12:00:00,2021,9,15.42,109.06,116,214.8,933,Siêu bão
20219N03W,YAGI,2019-09-17 09:00:00,2019,9,19.07,107.1,111,205.6,924,Siêu bão
20222N03W,NORU,2022-06-10 03:00:00,2022,6,8.3,116.0,42,77.8,982,Bão nhiệt đới
20216N09W,XANGSANE,2016-11-03 06:00:00,2016,11,21.97,107.61,91,168.5,954,Bão rất mạnh
20216N01W,KETSANA,2016-07-07 09:00:00,2016,7,18.33,105.82,32,59.3,985,Bão nhiệt đới
20219N09W,GONONI,2019-09-18 09:00:00,2019,9,18.02,111.43,77,142.6,950,Bão mạnh
20224N07W,MOLAVE,2024-07-27 03:00:00,2024,7,19.17,106.14,99,183.3,937,Bão rất mạnh
20219N03W,YAGI,2019-11-14 21:00:00,2019,11,14.54,111.81,54,100.0,971,Bão nhiệt đới
20222N09W,VAMCO,2022-11-22 12:00:00,2022,11,19.63,103.93,86,159.3,949,Bão rất mạnh
20224N09W,VAMCO,2024-06-26 06:00:00,2024,6,19.57,114.81,83,153.7,950,Bão rất mạnh
20220N05W,XANGSANE,2020-09-17 21:00:00,2020,9,20.56,109.41,42,77.8,977,Bão nhiệt đới
20224N08W,VAMCO,2024-09-14 12:00:00,2024,9,9.28,116.04,96,177.8,942,Bão rất mạnh
20222N04W,GONONI,2022-12-12 03:00:00,2022,12,19.33,112.48,34,63.0,980,Bão nhiệt đới
20216N02W,XANGSANE,2016-07-24 09:00:00,2016,7,13.22,106.16,34,63.0,986,Bão nhiệt đới
20219N01W,TALIM,2019-08-13 09:00:00,2019,8,9.07,115.62,69,127.8,959,Bão mạnh
20219N09W,GONONI,2019-09-19 03:00:00,2019,9,16.0,112.59,69,127.8,956,Bão mạnh
20215N06W,XANGSANE,2015-09-16 21:00:00,2015,9,11.43,104.52,77,142.6,957,Bão mạnh
20219N05W,DOKSURI,2019-09-13 00:00:00,2019,9,21.02,103.69,56,103.7,968,Bão mạnh
20219N09W,GONONI,2019-11-19 18:00:00,2019,11,19.56,104.06,82,151.9,954,Bão rất mạnh
20218N03W,RAI,2018-11-18 09:00:00,2018,11,15.79,114.11,41,75.9,981,Bão nhiệt đới
20216N08W,VAMCO,2016-07-02 09:00:00,2016,7,8.13,115.1,99,183.3,940,Bão rất mạnh
20224N02W,NORU,2024-10-10 00:00:00,2024,10,21.48,107.47,89,164.8,949,Bão rất mạnh
20217N04W,VAMCO,2017-11-04 03:00:00,2017,11,21.26,104.66,41,75.9,979,Bão nhiệt đới
20217N04W,VAMCO,2017-10-22 00:00:00,2017,10,8.81,103.2,111,205.6,933,Siêu bão
20215N07W,GONONI,2015-07-01 15:00:00,2015,7,13.21,115.1,104,192.6,935,Siêu bão
20221N04W,NORU,2021-06-02 15:00:00,2021,6,14.56,117.11,42,77.8,980,Bão nhiệt đới
20218N02W,DOKSURI,2018-10-20 21:00:00,2018,10,9.15,112.89,51,94.5,977,Bão nhiệt đới
20223N03W,MOLAVE,2023-08-17 15:00:00,2023,8,10.11,108.92,50,92.6,969,Bão nhiệt đới
20221N04W,NORU,2021-11-15 03:00:00,2021,11,10.98,102.5,54,100.0,970,Bão nhiệt đới
20217N06W,DOKSURI,2017-09-15 09:00:00,2017,9,14.62,117.49,75,138.9,957,Bão mạnh
20220N05W,XANGSANE,2020-10-03 12:00:00,2020,10,9.84,102.52,89,164.8,944,Bão rất mạnh
20215N03W,DOKSURI,2015-08-15 00:00:00,2015,8,8.02,111.57,113,209.3,926,Siêu bão
20221N06W,KETSANA,2021-07-22 12:00:00,2021,7,11.77,114.76,40,74.1,981,Bão nhiệt đới
20222N01W,MOLAVE,2022-09-08 12:00:00,2022,9,9.01,108.28,67,124.1,966,Bão mạnh
20218N06W,NORU,2018-12-09 21:00:00,2018,12,18.14,113.99,70,129.6,957,Bão mạnh
20216N08W,VAMCO,2016-07-14 21:00:00,2016,7,8.26,109.72,49,90.7,979,Bão nhiệt đới
20215N02W,NORU,2015-09-09 12:00:00,2015,9,9.16,115.19,55,101.9,969,Bão nhiệt đới
20217N04W,VAMCO,2017-09-06 18:00:00,2017,9,10.81,113.09,44,81.5,977,Bão nhiệt đới
20220N04W,DOKSURI,2020-12-03 06:00:00,2020,12,8.44,116.98,61,113.0,965,Bão mạnh
20219N05W,DOKSURI,2019-10-08 21:00:00,2019,10,18.0,114.83,91,168.5,945,Bão rất mạnh
20223N03W,MOLAVE,2023-11-04 15:00:00,2023,11,19.44,109.24,32,59.3,994,Bão nhiệt đới
20219N05W,DOKSURI,2019-08-14 06:00:00,2019,8,18.15,111.49,41,75.9,978,Bão nhiệt đới
20220N08W,TALIM,2020-10-19 09:00:00,2020,10,15.78,113.51,51,94.5,972,Bão nhiệt đới
20219N01W,TALIM,2019-12-09 06:00:00,2019,12,17.1,105.19,64,118.5,963,Bão mạnh
20223N07W,RAI,2023-08-12 00:00:00,2023,8,20.16,113.63,90,166.7,942,Bão rất mạnh
20217N06W,DOKSURI,2017-09-04 09:00:00,2017,9,13.19,117.8,53,98.2,975,Bão nhiệt đới
20218N09W,XANGSANE,2018-06-02 21:00:00,2018,6,16.49,111.56,65,120.4,973,Bão mạnh
20215N06W,XANGSANE,2015-10-19 06:00:00,2015,10,11.97,107.75,32,59.3,992,Bão nhiệt đới
20216N06W,VAMCO,2016-08-26 21:00:00,2016,8,13.67,111.63,71,131.5,964,Bão mạnh
20219N08W,RAI,2019-09-02 18:00:00,2019,9,13.78,103.11,70,129.6,962,Bão mạnh
20216N05W,RAI,2016-09-25 09:00:00,2016,9,16.3,104.62,118,218.5,926,Siêu bão
20218N01W,GONONI,2018-08-05 12:00:00,2018,8,12.55,114.38,85,157.4,946,Bão rất mạnh
20218N04W,RAI,2018-08-03 15:00:00,2018,8,10.38,110.32,39,72.2,981,Bão nhiệt đới
20223N04W,NORU,2023-10-01 12:00:00,2023,10,11.48,111.87,30,55.6,986,Bão nhiệt đới
20218N01W,GONONI,2018-06-05 18:00:00,2018,6,17.29,109.59,73,135.2,954,Bão mạnh
20221N02W,YAGI,2021-09-15 15:00:00,2021,9,10.88,103.79,107,198.2,935,Siêu bão
20217N02W,RAI,2017-07-01 18:00:00,2017,7,11.15,104.88,88,163.0,946,Bão rất mạnh
20222N06W,MOLAVE,2022-07-19 15:00:00,2022,7,17.63,108.36,117,216.7,923,Siêu bão
20219N07W,NORU,2019-09-12 15:00:00,2019,9,9.96,102.48,74,137.0,959,Bão mạnh
20220N07W,RAI,2020-10-10 09:00:00,2020,10,17.43,117.52,30,55.6,986,Bão nhiệt đới
20215N05W,NORU,2015-12-15 03:00:00,2015,12,17.26,117.66,72,133.3,961,Bão mạnh
20223N02W,YAGI,2023-06-18 00:00:00,2023,6,19.63,115.83,105,194.5,937,Siêu bão
20222N05W,NORU,2022-10-19 18:00:00,2022,10,17.22,108.3,98,181.5,940,Bão rất mạnh
20224N09W,VAMCO,2024-09-02 03:00:00,2024,9,16.47,107.09,62,114.8,969,Bão mạnh
20223N01W,VAMCO,2023-07-09 06:00:00,2023,7,20.3,108.47,33,61.1,986,Bão nhiệt đới
20217N01W,KETSANA,2017-10-18 12:00:00,2017,10,19.17,108.97,104,192.6,932,Siêu bão
20222N08W,MOLAVE,2022-06-15 00:00:00,2022,6,13.13,108.34,50,92.6,972,Bão nhiệt đới
20217N01W,KETSANA,2017-09-25 00:00:00,2017,9,11.33,107.97,73,135.2,959,Bão mạnh
20222N09W,VAMCO,2022-10-10 03:00:00,2022,10,14.49,108.08,55,101.9,970,Bão nhiệt đới
20222N09W,VAMCO,2022-09-06 09:00:00,2022,9,8.36,107.46,41,75.9,981,Bão nhiệt đới
20223N07W,RAI,2023-09-15 06:00:00,2023,9,18.71,115.01,72,133.3,956,Bão mạnh
20217N03W,GONONI,2017-08-23 21:00:00,2017,8,17.06,116.37,54,100.0,968,Bão nhiệt đới
20222N05W,NORU,2022-11-22 06:00:00,2022,11,9.42,109.77,81,150.0,957,Bão rất mạnh
20217N09W,NORU,2017-11-03 21:00:00,2017,11,12.36,111.77,47,87.0,978,Bão nhiệt đới
20224N09W,VAMCO,2024-07-11 18:00:00,2024,7,17.54,104.9,42,77.8,980,Bão nhiệt đới
20218N04W,RAI,2018-10-24 00:00:00,2018,10,15.94,106.11,65,120.4,962,Bão mạnh
20220N09W,VAMCO,2020-09-24 12:00:00,2020,9,16.86,117.22,51,94.5,973,Bão nhiệt đới
20217N03W,GONONI,2017-11-09 03:00:00,2017,11,10.97,111.78,71,131.5,959,Bão mạnh
20217N08W,DOKSURI,2017-08-04 03:00:00,2017,8,18.25,115.62,68,125.9,964,Bão mạnh
20223N02W,YAGI,2023-10-19 09:00:00,2023,10,10.1,108.78,98,181.5,942,Bão rất mạnh
20218N06W,NORU,2018-08-17 15:00:00,2018,8,8.33,112.27,100,185.2,937,Siêu bão
20218N05W,VAMCO,2018-10-09 15:00:00,2018,10,16.85,102.94,54,100.0,969,Bão nhiệt đới
20219N03W,YAGI,2019-10-11 18:00:00,2019,10,12.78,115.1,97,179.6,947,Bão rất mạnh
20224N09W,VAMCO,2024-09-07 12:00:00,2024,9,9.11,103.37,65,120.4,962,Bão mạnh
20222N07W,DOKSURI,2022-09-04 12:00:00,2022,9,15.27,103.08,34,63.0,983,Bão nhiệt đới
20219N08W,RAI,2019-08-21 21:00:00,2019,8,20.32,112.41,73,135.2,955,Bão mạnh
20222N07W,DOKSURI,2022-07-12 03:00:00,2022,7,13.08,117.93,116,214.8,925,Siêu bão
20218N03W,RAI,2018-09-22 09:00:00,2018,9,9.24,117.39,60,111.1,965,Bão mạnh
20221N08W,TALIM,2021-09-23 21:00:00,2021,9,8.02,106.81,37,68.5,985,Bão nhiệt đới
20224N03W,GONONI,2024-09-13 18:00:00,2024,9,13.59,104.44,34,63.0,988,Bão nhiệt đới
20222N02W,VAMCO,2022-10-21 09:00:00,2022,10,16.73,103.43,61,113.0,969,Bão mạnh
20218N06W,NORU,2018-10-12 15:00:00,2018,10,10.23,103.01,65,120.4,961,Bão mạnh
20222N03W,NORU,2022-09-02 06:00:00,2022,9,11.35,110.16,96,177.8,940,Bão rất mạnh
20220N07W,RAI,2020-08-26 09:00:00,2020,8,20.23,104.59,51,94.5,975,Bão nhiệt đới
20216N03W,KETSANA,2016-11-10 15:00:00,2016,11,19.44,108.09,117,216.7,928,Siêu bão
20218N03W,RAI,2018-10-03 21:00:00,2018,10,10.97,115.1,44,81.5,975,Bão nhiệt đới
20215N02W,NORU,2015-08-14 09:00:00,2015,8,16.02,116.92,95,175.9,942,Bão rất mạnh
20217N07W,DOKSURI,2017-09-01 09:00:00,2017,9,16.49,104.23,109,201.9,931,Siêu bão
20215N03W,DOKSURI,2015-12-06 00:00:00,2015,12,17.33,103.95,50,92.6,976,Bão nhiệt đới
